user_id,name,age,email,country,registration_date,purchase_count,total_spent
USER_316,User_316,30,user316@example.com,Thailand,2024-05-22,21,660.7014797991817
USER_439,User_439,30,user439@example.com,Thailand,2023-07-31,14,486.56447860132903
USER_2807,User_2807,52,user2807@example.com,Japan,2025-02-06,36,9818.653172984454
USER_590,User_590,36,user590@example.com,Germany,2023-05-24,93,2633.6425505613115
USER_2574,User_2574,46,user2574@example.com,Thailand,2022-11-30,85,6715.885513728717
USER_2934,User_2934,42,user2934@example.com,UK,2025-04-19,46,842.671997342217
USER_3566,User_3566,67,user3566@example.com,USA,2025-06-17,66,8442.509930463691
USER_2200,User_2200,56,user2200@example.com,UK,2025-08-08,78,7975.568331178795
USER_3239,User_3239,58,user3239@example.com,China,2024-07-22,98,179.44850012755808
USER_2759,User_2759,46,user2759@example.com,Thailand,2023-12-19,3,6091.850613893528
USER_3519,User_3519,29,user3519@example.com,Singapore,2023-09-24,81,3979.2450948726832
USER_3655,User_3655,51,user3655@example.com,UK,2024-05-01,79,1677.3916817438483
USER_2708,User_2708,39,user2708@example.com,UK,2025-03-12,59,5118.295351968466
USER_3634,User_3634,23,user3634@example.com,Japan,2023-01-21,11,108.74776942827458
USER_3392,User_3392,18,user3392@example.com,UK,2023-02-09,38,2639.9603788008785
USER_944,User_944,47,user944@example.com,UK,2025-07-31,35,3806.3552495088306
USER_314,User_314,44,user314@example.com,USA,2025-08-15,6,6721.691081772257
USER_838,User_838,34,user838@example.com,UK,2023-11-29,60,9819.574241369759
USER_784,User_784,69,user784@example.com,Germany,2024-01-31,83,9370.13672208046
USER_2152,User_2152,50,user2152@example.com,USA,2025-01-10,63,3703.686897653362
USER_1222,User_1222,34,user1222@example.com,Germany,2025-08-16,35,3476.1049683607102
USER_653,User_653,29,user653@example.com,Thailand,2025-04-26,56,7198.051595875534
USER_3235,User_3235,66,user3235@example.com,Vietnam,2023-09-23,69,5747.487574798715
USER_3220,User_3220,30,user3220@example.com,Thailand,2024-05-09,21,9233.115194013302
USER_2586,User_2586,38,user2586@example.com,Vietnam,2025-04-04,35,5928.411904267053
USER_2732,User_2732,41,user2732@example.com,China,2024-02-03,65,9.045333273653977
USER_1081,User_1081,69,user1081@example.com,China,2024-07-28,30,7004.046852446843
USER_798,User_798,46,user798@example.com,Australia,2024-02-02,56,9925.852394075293
USER_538,User_538,41,user538@example.com,Germany,2024-03-15,52,9956.60945185183
USER_955,User_955,63,user955@example.com,UK,2025-02-17,10,8171.662708668598
USER_280,User_280,41,user280@example.com,Japan,2023-12-01,17,4104.128426871869
USER_3583,User_3583,66,user3583@example.com,UK,2022-12-04,23,1352.121783644117
USER_515,User_515,24,user515@example.com,Japan,2023-05-18,42,4978.153170216737
USER_688,User_688,66,user688@example.com,Germany,2022-10-30,50,6839.480797676727
USER_1276,User_1276,33,user1276@example.com,Thailand,2023-09-30,90,5113.425737490587
USER_293,User_293,22,user293@example.com,USA,2023-04-10,89,754.9874770253695
USER_3466,User_3466,53,user3466@example.com,China,2024-01-11,50,325.6382249593892
USER_3247,User_3247,61,user3247@example.com,Japan,2025-03-27,19,444.8835688396302
USER_2986,User_2986,39,user2986@example.com,France,2024-10-09,1,5521.407573199372
USER_1961,User_1961,38,user1961@example.com,USA,2024-11-26,92,2480.2054300056443
USER_2262,User_2262,32,user2262@example.com,France,2024-04-01,80,4332.865806839324
